country,indicator_id,indicator_name,pillar_id,pillar_name,core_gate,egypt_value_in_app,egypt_year_in_app,egypt_source_in_app,egypt_source_url_in_app,egypt_grade_in_app,egypt_direct_or_proxy
Egypt,1.1,Agriculture value added per worker (constant 2015 USD),C0,Agricultural context & need,no,8942.42,2025,World Bank WDI,https://data.worldbank.org/indicator/NV.AGR.EMPL.KD,A 86,direct
Egypt,1.2,Cereal yield (kg per hectare),C0,Agricultural context & need,no,7402.2,2023,World Bank WDI,https://data.worldbank.org/indicator/AG.YLD.CREL.KG,A 96,direct
Egypt,1.3,Employment in agriculture (% of total employment),C0,Agricultural context & need,no,17.52,2025,World Bank WDI / ILO,https://data.worldbank.org/indicator/SL.AGR.EMPL.ZS,A 86,direct
Egypt,1.4,Food production index (2014-2016 = 100),C0,Agricultural context & need,no,109.07,2022,World Bank WDI / FAO,https://data.worldbank.org/indicator/AG.PRD.FOOD.XD,A 86,direct
Egypt,2.1,Rural population covered by at least 3G (%),C1,Connectivity & affordable access,YES,99.8,2024,"ITU DataHub — population covered by at least 3G (national, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,B 73,proxy
Egypt,2.2,Rural population covered by at least 4G (%),C1,Connectivity & affordable access,no,98,2024,"ITU DataHub — population covered by at least 4G (national, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,B 73,proxy
Egypt,2.3,Active mobile broadband subscriptions per 100 inhabitants,C1,Connectivity & affordable access,no,72.28,2024,ITU DataHub — active mobile-broadband subscriptions per 100 inhabitants (via World Bank Data360),https://data360.worldbank.org/en/dataset/ITU_DH,A 96,direct
Egypt,2.4,Individuals using the Internet (% of population),C1,Connectivity & affordable access,no,74.65,2024,World Bank WDI / ITU,https://data.worldbank.org/indicator/IT.NET.USER.ZS,A 96,direct
Egypt,2.5,Mobile broadband basket price (% GNI per capita),C1,Connectivity & affordable access,YES,1.58,2025,"ITU ICT Price Basket — data-only mobile-broadband (% of GNI per capita, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,A 96,direct
Egypt,2.9,Electricity access in rural areas (%),C1,Connectivity & affordable access,YES,100,2024,World Bank WDI,https://data.worldbank.org/indicator/EG.ELC.ACCS.RU.ZS,A 96,direct
Egypt,3.1,UN E-Government Development Index (EGDI),C2,Data infrastructure & DPI,no,0.67,2024,UN DESA E-Government Development Index (via World Bank Data360),https://data360.worldbank.org/en/dataset/UN_EGDI,A 96,direct
Egypt,4.2,Cybersecurity legal framework (ITU GCI),C3,"Policy, governance & safeguards",YES,1,2024,ITU Global Cybersecurity Index overall score (via World Bank Data360),https://data360.worldbank.org/en/dataset/ITU_GCI,A 96,direct
Egypt,5.1,Mean years of schooling (adults 25+),C4,Human & institutional capacity,no,7.15,2010,World Bank Education Statistics — Barro-Lee average years of schooling (age 15+),https://data.worldbank.org/indicator/BAR.SCHL.15UP,C 63,proxy
Egypt,5.2,Adult literacy rate (% age 15+),C4,Human & institutional capacity,no,79.45,2022,World Bank WDI / UNESCO UIS,https://data.worldbank.org/indicator/SE.ADT.LITR.ZS,A 86,direct
Egypt,5.3,Tertiary enrollment in STEM fields (% gross),C4,Human & institutional capacity,no,18.58,2023,UNESCO UIS — STEM share of tertiary graduates (via World Bank Data360),https://data360.worldbank.org/en/dataset/UNESCO_UIS,B 83,proxy
Egypt,6.2,R&D expenditure (% of GDP),E1,Innovation & private sector,no,1.02,2024,World Bank WDI / UNESCO,https://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS,A 96,direct
Egypt,8.1,Prevalence of undernourishment (% of population),O1,"Inclusion, sustainability & outcomes",no,9.4,2023,World Bank WDI / FAO,https://data.worldbank.org/indicator/SN.ITK.DEFC.ZS,A 96,direct
Egypt,8.2,"Account ownership, female (% age 15+)",O1,"Inclusion, sustainability & outcomes",no,40.21,2024,Global Findex (female account ownership),https://data.worldbank.org/indicator/FX.OWN.TOTL.FE.ZS,A 96,direct
Egypt,8.3,Gender gap in account ownership (male % minus female %),O1,"Inclusion, sustainability & outcomes",no,5.74,2024,Global Findex (male minus female account ownership),https://data.worldbank.org/indicator/FX.OWN.TOTL.FE.ZS,A 96,direct
Egypt,8.4,Mobile money account (% age 15+),O1,"Inclusion, sustainability & outcomes",no,15.61,2024,Global Findex — mobile money account (via World Bank Data360),https://www.worldbank.org/en/publication/globalfindex,A 96,direct
Egypt,8.5,Women who own land (% of agricultural holders),O1,"Inclusion, sustainability & outcomes",no,0.7,2014,"World Bank Gender Statistics (women who own land, alone or jointly)",https://data.worldbank.org/indicator/SG.OWN.LDAL.FE.ZS,D 53,proxy
