indicator_id,value,observation_year,source_name,source_url,confidence,provenance,is_proxy,proxy_note,data_gap,gap_steward,suggested_level,assessor_level,assessor_name,notes
1.1,8942.42,2025,World Bank WDI,https://data.worldbank.org/indicator/NV.AGR.EMPL.KD,High,machine-imported,false,,false,Statistics office,,,,Primary official series. Used first.
1.2,7402.2,2023,World Bank WDI,https://data.worldbank.org/indicator/AG.YLD.CREL.KG,High,machine-imported,false,,false,Statistics office,,,,Primary official series. Used first.
1.3,17.52,2025,World Bank WDI / ILO,https://data.worldbank.org/indicator/SL.AGR.EMPL.ZS,High,machine-imported,false,,false,Statistics office,,,,Primary official series. Used first.
1.4,109.07,2022,World Bank WDI / FAO,https://data.worldbank.org/indicator/AG.PRD.FOOD.XD,High,machine-imported,false,,false,Statistics office,,,,Primary official series. Used first.
1.5,,,National post-harvest assessment,,,named-gap,false,,false,Ministry of Agriculture,,,,
1.6,,,Agricultural census / LSMS-ISA,,,named-gap,false,,false,Statistics office,,,,
1.7,,,Agricultural finance survey,,,named-gap,false,,false,Ministry of Agriculture / Central bank,,,,
1.8,,,CSA practice survey,,,named-gap,false,,false,Ministry of Agriculture,,,,
1.9,,2026,Egypt - Information and Communications Technology; and Digital Economy,https://www.trade.gov/country-commercial-guides/egypt-information-and-communications-technology-and-digital-economy,Medium,machine-researched,false,,false,Ministry of Agriculture,3,,,"MACHINE-RESEARCHED PROPOSAL — Level 3. Confirm, correct or reject at validation.
L3 is proposed. Operational national programs with digital components are evidenced: under ICT 2030, ""the Egyptian government is undertaking a series of investments, capacity building and training programs, digital government services reforms, and infrastructure upgrades."" MCIT's ""Our Future is Digital"" initiative aims to train 100,000 young Egyptians, and operational results are shown by ""The project had supplied 5,300 government buildings across Egypt with fiber-optic cable connection and aims to supply all 32,000 government entities by 2030"" and by the fact that ""By March 2025, over 5,000 individuals had completed AI-focused training programs."" Defined ownership and partial coverage are also evidenced: ""The ICT industry in Egypt is managed by MCIT,"" while the 5,300 of a planned 32,000 government entities supplied shows partial coverage. Adoption or interoperability gaps remain: the OECD finds that ""implementation across sectoral strategies remains uneven"" and that ""Data, monitoring and evaluation need to be developed to support evidence-based policy.""
Why not L4: L4 requires scaled and funded programs with accountable governance, interoperability and broad use. The documents do not evidence broad use or interoperability; they show recently launched or still developing initiatives with partial coverage. The OECD states monitoring and evaluation need to be developed, and the University World News item frames performance as future targets (""The progress of each alliance will be measured annually""), not demonstrated broad implementation. Therefore L4 is not 
Further sources: Egypt - Information and Communications Technology; and Digital Economy: https://www.trade.gov/country-commercial-guides/egypt-information-and-communications-technology-and-digital-economy · Egypt - Information and Communications Technology; and Digital Economy: https://www.trade.gov/country-commercial-guides/egypt-information-and-communications-technology-and-digital-economy · Egypt - Information and Communications Technology; and Digital Economy: https://www.trade.gov/country-commercial-guides/egypt-information-and-communications-technology-and-digital-economy · Egypt - Information and Communications Technology; and Digital Economy: https://www.trade.gov/country-commercial-guides/egypt-information-and-communications-technology-and-digital-economy · Transforming science, technology and innovation governance in Egypt: OECD Reviews of Innovation Policy: Egypt 2026: https://www.oecd.org/en/publications/oecd-reviews-of-innovation-policy-egypt-2026_c6675315-en/full-report/transforming-science-technology-and-innovation-governance-in-egypt_758e1bdd.html · Transforming science, technology and innovation governance in Egypt: OECD Reviews of Innovation Policy: Egypt 2026: https://www.oecd.org/en/publications/oecd-reviews-of-innovation-policy-egypt-2026_c6675315-en/full-report/transforming-science-technology-and-innovation-governance-in-egypt_758e1bdd.html · National policy for sustainable innovation launched: https://www.universityworldnews.com/post.php?story=20250316201325507"
2.1,99.8,2024,"ITU DataHub — population covered by at least 3G (national, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,Low/Estimated,proxy,true,Proxy: national 3G population coverage. DAMM asks for rural coverage. Replace with a rural-filtered ITU/GSMA reading when the regulator publishes one.,false,ITU / digital authority,5,,,"Official publisher, but the series is a documented proxy for the DAMM indicator."
2.10,,,Ookla / national QoS,,,named-gap,false,,false,Regulator,,,,
2.11,,2026,"IFC, Agricultural Bank of Egypt Partner to Promote Farmers’ Switch to Solar Irrigation Systems",https://www.ifc.org/en/pressroom/2020/ifc-agricultural-bank-of-egypt-partner-to-promote-farmers-switch,Medium,machine-researched,false,,false,Ministry of Agriculture / digital authority,2,,,"MACHINE-RESEARCHED PROPOSAL — Level 2. Confirm, correct or reject at validation.
L2 is met because the IFC/Agricultural Bank of Egypt partnership provides credible, formal device financing for farmers. The document states the partners 'announced a partnership to help Egyptian farmers access financing to purchase solar irrigation systems' and that 'IFC will help ABE build capacity and design new financial products to enable Egyptian farmers—most of whom lack direct access to grid electricity—to purchase and install solar irrigation pumps.' The effort is donor-assisted and still being built: 'IFC is helping select financial institutions build their capacity to offer financing facilities for off-grid photovoltaic (PV) systems in the agribusiness sector' and 'The project is being implemented in partnership with the governments of Denmark, South Korea, and the Netherlands.' Document [4] adds a further, ad hoc financing product—'The platform's cornerstone is its ""Plant Now & Pay Later"" (PNPL) scheme, which offers farmers 12-month interest-free financing for agricultural inputs and supplies'—but with no demonstrated ownership or scale. This is enough for L2's pilot/ad hoc, donor-dependent financing scheme, and more than L1's isolated informal activity.
Why not L3: L3 requires an operational device financing/subsidy scheme with defined ownership and partial coverage. The IFC/ABE documents are forward-looking: 'IFC will help ABE build capacity and design new financial products' rather than showing an operating scheme. The Agri Cash platform only 'appears to be operational' and 'specific adoption metrics are not publicly available', so defined coverage and ownership are not evidenced. OECD data also shows 'Budgetary expenditures for inputs, investment or cre
Further sources: IFC, Agricultural Bank of Egypt Partner to Promote Farmers’ Switch to Solar Irrigation Systems: https://www.ifc.org/en/pressroom/2020/ifc-agricultural-bank-of-egypt-partner-to-promote-farmers-switch · IFC, Agricultural Bank of Egypt Partner to Promote Farmers’ Switch to Solar Irrigation Systems: https://www.ifc.org/en/pressroom/2020/ifc-agricultural-bank-of-egypt-partner-to-promote-farmers-switch · IFC, Agricultural Bank of Egypt Partner to Promote Farmers’ Switch to Solar Irrigation Systems: https://www.ifc.org/en/pressroom/2020/ifc-agricultural-bank-of-egypt-partner-to-promote-farmers-switch · Agri Cash [Egypt] | Science, Technology and Innovation (STI) Portal: https://sti-portal.fao.org/innovations/agri-cash-egypt · Agri Cash [Egypt] | Science, Technology and Innovation (STI) Portal: https://sti-portal.fao.org/innovations/agri-cash-egypt · Trends and evaluation of agricultural policy in Egypt: Policies for the Future of Farming and Food in Egypt: https://www.oecd.org/en/publications/policies-for-the-future-of-farming-and-food-in-egypt_cab0cefd-en/full-report/trends-and-evaluation-of-agricultural-policy-in-egypt_416e1bd0.html"
2.2,98,2024,"ITU DataHub — population covered by at least 4G (national, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,Low/Estimated,proxy,true,Proxy: national 4G population coverage. DAMM asks for rural coverage. Replace with a rural-filtered ITU/GSMA reading when the regulator publishes one.,false,ITU / digital authority,5,,,"Official publisher, but the series is a documented proxy for the DAMM indicator."
2.3,72.28,2024,ITU DataHub — active mobile-broadband subscriptions per 100 inhabitants (via World Bank Data360),https://data360.worldbank.org/en/dataset/ITU_DH,High,machine-imported,false,,false,ITU,4,,,Primary official series. Used first.
2.4,74.65,2024,World Bank WDI / ITU,https://data.worldbank.org/indicator/IT.NET.USER.ZS,High,machine-imported,false,,false,ITU / statistics office,4,,,Primary official series. Used first.
2.5,1.58,2025,"ITU ICT Price Basket — data-only mobile-broadband (% of GNI per capita, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,High,machine-imported,false,,false,ITU,4,,,Primary official series. Used first.
2.6,,,Global Findex / GSMA,https://www.worldbank.org/en/publication/globalfindex,,named-gap,false,,false,Global Findex,,,,
2.7,,,Rural household / farmer survey,,,named-gap,false,,false,Statistics office,,,,
2.8,,,Rural tariff survey,,,named-gap,false,,false,Regulator / GSMA,,,,
2.9,100,2024,World Bank WDI,https://data.worldbank.org/indicator/EG.ELC.ACCS.RU.ZS,High,machine-imported,false,,false,Statistics office / energy ministry,5,,,Primary official series. Used first.
3.1,0.67,2024,UN DESA E-Government Development Index (via World Bank Data360),https://data360.worldbank.org/en/dataset/UN_EGDI,High,machine-imported,false,,false,UN DESA EGDI,4,,,Primary official series. Used first.
