row,country,iso3,indicator_id,indicator_name,pillar_id,pillar_name,role,core_gate,indicator_type,required_cut,preferred_years,definition,national_source_to_try_first,international_fallback,steward,app_mapped_series,app_captured_for_egypt,egypt_value_in_app,egypt_year_in_app,egypt_source_in_app,egypt_source_url_in_app,egypt_grade_in_app,egypt_direct_or_proxy
10,Egypt,EGY,2.1,Rural population covered by at least 3G (%),C1,Connectivity & affordable access,Capability,YES,core-gate-quantitative,rural,2023-2026,Share of the rural population living in an area with at least 3G mobile coverage.,"National telecom regulator coverage maps / NTRA, MCIT or equivalent statistical yearbook","ITU DataHub MOB_COV_3G via World Bank Data360 (national, proxy)",Telecom regulator / ITU,MOB_COV_3G,YES,99.8,2024,"ITU DataHub — population covered by at least 3G (national, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,B 73,proxy
14,Egypt,EGY,2.5,Mobile broadband basket price (% GNI per capita),C1,Connectivity & affordable access,Capability,YES,core-gate-quantitative,national,2023-2026,Price of a mobile-broadband basket as a percentage of GNI per capita. Lower is better.,National regulator published tariff basket / NSO ICT prices,ITU ICT price basket via World Bank Data360,Telecom regulator / ITU,PRI_DO_MOB,YES,1.58,2025,"ITU ICT Price Basket — data-only mobile-broadband (% of GNI per capita, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,A 96,direct
18,Egypt,EGY,2.9,Electricity access in rural areas (%),C1,Connectivity & affordable access,Capability,YES,core-gate-quantitative,rural,2024-2026,Share of the rural population with access to electricity.,National statistical office / energy ministry rural access table,World Bank WDI EG.ELC.ACCS.RU.ZS,Statistics office / energy ministry,EG.ELC.ACCS.RU.ZS,YES,100,2024,World Bank WDI,https://data.worldbank.org/indicator/EG.ELC.ACCS.RU.ZS,A 96,direct
23,Egypt,EGY,3.3,National farmer registry/database,C2,Data infrastructure & DPI,Capability,YES,core-gate-rubric,agricultural,2024-2026,Existence and operational use of a national farmer registry or equivalent producer database.,"Ministry of agriculture farmer-registry decree, coverage report or census frame",No international substitute. Documentary lead only.,Ministry of Agriculture,,NO,,,,,missing,missing
31,Egypt,EGY,3.11,Interoperability standards for agricultural data,C2,Data infrastructure & DPI,Capability,YES,core-gate-rubric,agricultural,2024-2026,Published interoperability standards or a data-exchange framework for agricultural data.,Agriculture ministry / digital authority interoperability notice or API standard,No scored international substitute. Documentary lead only.,Digital authority / Ministry of Agriculture,,NO,,,,,missing,missing
33,Egypt,EGY,4.1,Data protection/privacy law,C3,"Policy, governance & safeguards",Capability,YES,core-gate-rubric,national,2023-2026,"A data-protection or privacy law that is in force and applies to personal data, including farmer data.",Official gazette / data-protection authority,UNCTAD data-protection law listing (presence only),Data-protection authority,,NO,,,,,missing,missing
34,Egypt,EGY,4.2,Cybersecurity legal framework (ITU GCI),C3,"Policy, governance & safeguards",Capability,YES,core-gate-quantitative,national,2023-2026,"Strength of the national cybersecurity legal and institutional framework, as scored by the ITU Global Cybersecurity Index.","National cybersecurity agency published GCI self-assessment, if any",ITU Global Cybersecurity Index via World Bank Data360,Cybersecurity agency / ITU,ITU_GCI_GCI_OVRL_SCRE,YES,1,2024,ITU Global Cybersecurity Index overall score (via World Bank Data360),https://data360.worldbank.org/en/dataset/ITU_GCI,A 96,direct
37,Egypt,EGY,4.5,Agricultural data governance framework,C3,"Policy, governance & safeguards",Capability,YES,core-gate-rubric,agricultural,2024-2026,"A documented agricultural data-governance framework (roles, access, sharing, stewardship).",Ministry of agriculture or statistics office data-governance circular,No scored international substitute.,Ministry of Agriculture / statistics office,,NO,,,,,missing,missing
41,Egypt,EGY,4.9,Inter-ministerial coordination mechanism for digital agriculture,C3,"Policy, governance & safeguards",Capability,YES,core-gate-rubric,agricultural,2024-2026,A standing inter-ministerial coordination mechanism whose mandate includes digital agriculture.,"Cabinet decree, ToR or minutes of the digital-agriculture steering body",No scored international substitute.,Cabinet / digital authority,,NO,,,,,missing,missing
50,Egypt,EGY,5.5,Extension workers trained in digital tools (%),C4,Human & institutional capacity,Capability,YES,core-gate-quantitative,agricultural,2024-2026,"Share of public extension workers who have received training in digital tools, in the last max-age window.",Ministry of agriculture extension directorate training returns,No comparable global series. FAO / GFRAS notes are leads only.,Ministry of Agriculture extension directorate,,NO,,,,,missing,missing
52,Egypt,EGY,5.7,Dedicated digital/AI units in Ministry of Agriculture,C4,Human & institutional capacity,Capability,YES,core-gate-rubric,agricultural,2024-2026,A dedicated digital or AI unit inside the ministry of agriculture (or a formally mandated equivalent).,"Ministerial organogram, establishment circular or budget line",No scored international substitute.,Ministry of Agriculture,,NO,,,,,missing,missing
79,Egypt,EGY,7.9,Cybersecurity of agricultural digital systems,E2,Responsible AI & emerging tech,Ecosystem,YES,core-gate-rubric,agricultural,2024-2026,"Cybersecurity controls applied to agricultural digital systems (registries, advisory, markets), not only the national GCI.","Agriculture-system security audit, CERT advisory or ministry CISO report",No scored international substitute.,Ministry of Agriculture CISO / national CERT,,NO,,,,,missing,missing
82,Egypt,EGY,7.12,Farmer consent and data rights in AI systems,E2,Responsible AI & emerging tech,Ecosystem,YES,core-gate-rubric,agricultural,2024-2026,Documented farmer consent and data-rights practice in agricultural AI or digital-advisory systems.,"Consent policy, DPIA or farmer-facing terms issued by the ministry or a major public platform",No scored international substitute.,Data-protection authority / Ministry of Agriculture,,NO,,,,,missing,missing
