row,country,iso3,indicator_id,indicator_name,pillar_id,pillar_name,role,core_gate,indicator_type,required_cut,preferred_years,definition,national_source_to_try_first,international_fallback,steward,app_mapped_series,app_captured_for_egypt,egypt_value_in_app,egypt_year_in_app,egypt_source_in_app,egypt_source_url_in_app,egypt_grade_in_app,egypt_direct_or_proxy
1,Egypt,EGY,1.1,Agriculture value added per worker (constant 2015 USD),C0,Agricultural context & need,Context,no,context,agricultural,2023-2026,Agriculture value added per worker (constant 2015 USD). Method: Context profile (not aggregated).,National statistical office series that matches the international definition,No international substitute — documentary lead only,Statistics office / international statistical system,NV.AGR.EMPL.KD,YES,8942.42,2025,World Bank WDI,https://data.worldbank.org/indicator/NV.AGR.EMPL.KD,A 86,direct
2,Egypt,EGY,1.2,Cereal yield (kg per hectare),C0,Agricultural context & need,Context,no,context,national,2023-2026,Cereal yield (kg per hectare). Method: Context profile (not aggregated).,National statistical office series that matches the international definition,No international substitute — documentary lead only,Statistics office / international statistical system,AG.YLD.CREL.KG,YES,7402.2,2023,World Bank WDI,https://data.worldbank.org/indicator/AG.YLD.CREL.KG,A 96,direct
3,Egypt,EGY,1.3,Employment in agriculture (% of total employment),C0,Agricultural context & need,Context,no,context,agricultural,2023-2026,Employment in agriculture (% of total employment). Method: Context profile (not aggregated).,National statistical office series that matches the international definition,No international substitute — documentary lead only,Statistics office / international statistical system,SL.AGR.EMPL.ZS,YES,17.52,2025,World Bank WDI / ILO,https://data.worldbank.org/indicator/SL.AGR.EMPL.ZS,A 86,direct
4,Egypt,EGY,1.4,Food production index (2014-2016 = 100),C0,Agricultural context & need,Context,no,context,national,2023-2026,Food production index (2014-2016 = 100). Method: Context profile (not aggregated).,National statistical office series that matches the international definition,No international substitute — documentary lead only,Statistics office / international statistical system,AG.PRD.FOOD.XD,YES,109.07,2022,World Bank WDI / FAO,https://data.worldbank.org/indicator/AG.PRD.FOOD.XD,A 86,direct
5,Egypt,EGY,1.5,Post-harvest loss rate (%),C0,Agricultural context & need,Context,no,context,national,2024-2026,Post-harvest loss rate (%). Method: Context profile (not aggregated).,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
6,Egypt,EGY,1.6,Smallholder access to formal markets (%),C0,Agricultural context & need,Context,no,context,agricultural,2024-2026,Smallholder access to formal markets (%). Method: Context profile (not aggregated).,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
7,Egypt,EGY,1.7,Agricultural credit access (% of farmers),C0,Agricultural context & need,Context,no,context,agricultural,2024-2026,Agricultural credit access (% of farmers). Method: Context profile (not aggregated).,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
8,Egypt,EGY,1.8,Farmers using climate-smart/sustainable practices (%),C0,Agricultural context & need,Context,no,context,agricultural,2024-2026,Farmers using climate-smart/sustainable practices (%). Method: Context profile (not aggregated).,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
9,Egypt,EGY,1.9,National innovation/extension programs with digital component,C4,Human & institutional capacity,Capability,no,rubric,agricultural,2024-2026,National innovation/extension programs with digital component. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
10,Egypt,EGY,2.1,Rural population covered by at least 3G (%),C1,Connectivity & affordable access,Capability,YES,core-gate-quantitative,rural,2023-2026,Share of the rural population living in an area with at least 3G mobile coverage.,"National telecom regulator coverage maps / NTRA, MCIT or equivalent statistical yearbook","ITU DataHub MOB_COV_3G via World Bank Data360 (national, proxy)",Telecom regulator / ITU,MOB_COV_3G,YES,99.8,2024,"ITU DataHub — population covered by at least 3G (national, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,B 73,proxy
11,Egypt,EGY,2.2,Rural population covered by at least 4G (%),C1,Connectivity & affordable access,Capability,no,quantitative,rural,2023-2026,Rural population covered by at least 4G (%). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,MOB_COV_4G,YES,98,2024,"ITU DataHub — population covered by at least 4G (national, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,B 73,proxy
12,Egypt,EGY,2.3,Active mobile broadband subscriptions per 100 inhabitants,C1,Connectivity & affordable access,Capability,no,quantitative,national,2023-2026,Active mobile broadband subscriptions per 100 inhabitants. Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,ACT_MOB_SB,YES,72.28,2024,ITU DataHub — active mobile-broadband subscriptions per 100 inhabitants (via World Bank Data360),https://data360.worldbank.org/en/dataset/ITU_DH,A 96,direct
13,Egypt,EGY,2.4,Individuals using the Internet (% of population),C1,Connectivity & affordable access,Capability,no,quantitative,national,2023-2026,Individuals using the Internet (% of population). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,IT.NET.USER.ZS,YES,74.65,2024,World Bank WDI / ITU,https://data.worldbank.org/indicator/IT.NET.USER.ZS,A 96,direct
14,Egypt,EGY,2.5,Mobile broadband basket price (% GNI per capita),C1,Connectivity & affordable access,Capability,YES,core-gate-quantitative,national,2023-2026,Price of a mobile-broadband basket as a percentage of GNI per capita. Lower is better.,National regulator published tariff basket / NSO ICT prices,ITU ICT price basket via World Bank Data360,Telecom regulator / ITU,PRI_DO_MOB,YES,1.58,2025,"ITU ICT Price Basket — data-only mobile-broadband (% of GNI per capita, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,A 96,direct
15,Egypt,EGY,2.6,Adults with mobile phone (% age 15+),C1,Connectivity & affordable access,Capability,no,quantitative,national,2023-2026,Adults with mobile phone (% age 15+). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,,NO,,,,,missing,missing
16,Egypt,EGY,2.7,Smartphone ownership among rural/agricultural population (%),C1,Connectivity & affordable access,Capability,no,quantitative,rural-agricultural,2024-2026,Smartphone ownership among rural/agricultural population (%). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
17,Egypt,EGY,2.8,Average mobile data cost in rural areas (USD per GB),C1,Connectivity & affordable access,Capability,no,quantitative,rural,2024-2026,Average mobile data cost in rural areas (USD per GB). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
18,Egypt,EGY,2.9,Electricity access in rural areas (%),C1,Connectivity & affordable access,Capability,YES,core-gate-quantitative,rural,2024-2026,Share of the rural population with access to electricity.,National statistical office / energy ministry rural access table,World Bank WDI EG.ELC.ACCS.RU.ZS,Statistics office / energy ministry,EG.ELC.ACCS.RU.ZS,YES,100,2024,World Bank WDI,https://data.worldbank.org/indicator/EG.ELC.ACCS.RU.ZS,A 96,direct
19,Egypt,EGY,2.10,Average download speed in agricultural areas (Mbps),C1,Connectivity & affordable access,Capability,no,quantitative,agricultural,2024-2026,Average download speed in agricultural areas (Mbps). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
20,Egypt,EGY,2.11,Device financing/subsidy schemes for farmers,C1,Connectivity & affordable access,Capability,no,rubric,agricultural,2024-2026,Device financing/subsidy schemes for farmers. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
21,Egypt,EGY,3.1,UN E-Government Development Index (EGDI),C2,Data infrastructure & DPI,Capability,no,quantitative,national,2023-2026,UN E-Government Development Index (EGDI). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,UN_EGDI_EGDI,YES,0.67,2024,UN DESA E-Government Development Index (via World Bank Data360),https://data360.worldbank.org/en/dataset/UN_EGDI,A 96,direct
22,Egypt,EGY,3.2,Open Data Inventory (ODIN) score,C2,Data infrastructure & DPI,Capability,no,quantitative,national,2023-2026,Open Data Inventory (ODIN) score. Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,,NO,,,,,missing,missing
23,Egypt,EGY,3.3,National farmer registry/database,C2,Data infrastructure & DPI,Capability,YES,core-gate-rubric,agricultural,2024-2026,Existence and operational use of a national farmer registry or equivalent producer database.,"Ministry of agriculture farmer-registry decree, coverage report or census frame",No international substitute. Documentary lead only.,Ministry of Agriculture,,NO,,,,,missing,missing
24,Egypt,EGY,3.4,Digital land/plot registration system,C2,Data infrastructure & DPI,Capability,no,rubric,national,2024-2026,Digital land/plot registration system. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
25,Egypt,EGY,3.5,National agricultural data portal / open data,C2,Data infrastructure & DPI,Capability,no,rubric,agricultural,2024-2026,National agricultural data portal / open data. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
26,Egypt,EGY,3.6,Weather/climate data infrastructure for agriculture,C2,Data infrastructure & DPI,Capability,no,rubric,agricultural,2024-2026,Weather/climate data infrastructure for agriculture. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
27,Egypt,EGY,3.7,Satellite/earth observation data integration capability,C2,Data infrastructure & DPI,Capability,no,rubric,national,2024-2026,Satellite/earth observation data integration capability. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
28,Egypt,EGY,3.8,National soil map/database (digital),C2,Data infrastructure & DPI,Capability,no,rubric,national,2024-2026,National soil map/database (digital). Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
29,Egypt,EGY,3.9,"Digital advisory platforms reaching >10,000 users",C2,Data infrastructure & DPI,Capability,no,quantitative,national,2024-2026,"Digital advisory platforms reaching >10,000 users. Method: Quantitative threshold.",National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
30,Egypt,EGY,3.10,"Digital agricultural market/e-commerce platforms (>5,000 active users)",C2,Data infrastructure & DPI,Capability,no,rubric,agricultural,2024-2026,"Digital agricultural market/e-commerce platforms (>5,000 active users). Method: Anchored capability rubric.",National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
