chapter,category,severity,excerpt,note,source,created_at
10,unclaimable-stage,high,"Model prose rejected — figures not present in the evidence base: -2, -5, -3, -6, -3,; stage assertions the evidence does not license: is Advanced, are Established.",Asserts a maturity band or stage while no stage is claimable (engagement-package rule).,deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
11,ambiguity,high,Model prose for this chapter was rejected by the fidelity check and discarded.,"The chapter is titled 'Target Digital Agriculture Architecture' but its substantive model prose was discarded, leaving no target architecture stated; the editor should supply replacement architecture content or retitle the chapter.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
11,unclaimable-stage,high,"Model prose rejected — stage assertions the evidence does not license: is advanced, is established.",Asserts a maturity band or stage while no stage is claimable (engagement-package rule).,deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
16,unsupported-claim,high,Excerpt: QA strategic foresight fixture. Scenario Alpha assumes accelerated smallholder platform adoption by 2032; Scenario Beta assumes stalled rural connectivity investment.,"The scenario material is labelled as a QA fixture, so it is test content rather than substantive task-team foresight; remove or replace it before any decision-maker uses the chapter.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
17,contradiction,high,Rejected: Rice expansion. Notes: Shortlist proposed to counterpart.,"The same section's targeting record later says ""Rejected: none recorded,"" while the conclusions also state rice expansion was rejected; the editor should reconcile these records.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
2,contradiction,high,Chain shortlist and segmentation proposed to government; Rice expansion rejected,"This process step records a rice expansion rejection, but the targeting summary below says 'Recorded targeting rejected: none'; editor should reconcile the two statements or clarify that rice expansion was outside the targeting shortlist.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
3,contradiction,high,"C1 Connectivity & affordable access: 4.14 (Advanced), coverage 64% (7 of 11 levelled).",This labels a pillar 'Advanced' even though the chapter later says 'No maturity stage is asserted in this draft'; the editor should remove or clearly caveat stage labels such as Advanced and Established.,model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
6,prohibited-comparison,high,"It does not rank Egypt, compare it with other countries, prescribe sequencing, assign budgets, select priority chains, or identify an implementation owner.",Cross-country ranking language — prohibited by the model.,deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
6,contradiction,high,Shortlist proposed to counterpart. Rice expansion was rejected.,This Step 3 note directly contradicts the later statement “No targeting option was recorded as rejected”; the editor should reconcile the targeting record.,model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
7,contradiction,high,"Four pillars remain not rated, including the inclusion-relevant outcomes pillar and the agricultural-context pillar.","The chapter earlier lists five not-rated pillars—C0, C3, O1, E1, and E2—so this sentence undercounts them as four; the editor should correct the count or specify which pillars are excluded.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
