indicator_id,name,pillar_id,pillar_name,role,core_gate,kind,method,disaggregation,max_age,preferred_years,definition,national_first,international_fallback,steward,app_fetch_kind,app_series,app_mapped_source,app_mapped_url,app_proxy,app_proxy_note,app_status,app_value,app_year,app_source_name,app_source_url,app_grade,app_score_100,perplexity_value,perplexity_year,perplexity_source,perplexity_url,perplexity_direct_or_proxy,perplexity_notes,same_as_app,perplexity_prompt
1.1,Agriculture value added per worker (constant 2015 USD),C0,Agricultural context & need,Context,no,rubric,Context profile (not aggregated),agricultural,3,2023–2026,Agriculture value added per worker (constant 2015 USD). Method: Context profile (not aggregated).,National statistical office series that matches the international definition,No international substitute — documentary lead only,Statistics office / international statistical system,worldbank,NV.AGR.EMPL.KD,World Bank WDI,https://data.worldbank.org/indicator/NV.AGR.EMPL.KD,no,,direct,8942.42,2025,World Bank WDI,https://data.worldbank.org/indicator/NV.AGR.EMPL.KD,A,86,,,,,,,,"Egypt — 1.1 Agriculture value added per worker (constant 2015 USD). Definition: Agriculture value added per worker (constant 2015 USD). Method: Context profile (not aggregated). Required cut: agricultural. Preferred years 2023–2026. Try national first (National statistical office series that matches the international definition), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
1.2,Cereal yield (kg per hectare),C0,Agricultural context & need,Context,no,rubric,Context profile (not aggregated),national,3,2023–2026,Cereal yield (kg per hectare). Method: Context profile (not aggregated).,National statistical office series that matches the international definition,No international substitute — documentary lead only,Statistics office / international statistical system,worldbank,AG.YLD.CREL.KG,World Bank WDI,https://data.worldbank.org/indicator/AG.YLD.CREL.KG,no,,direct,7402.2,2023,World Bank WDI,https://data.worldbank.org/indicator/AG.YLD.CREL.KG,A,96,,,,,,,,"Egypt — 1.2 Cereal yield (kg per hectare). Definition: Cereal yield (kg per hectare). Method: Context profile (not aggregated). Required cut: national. Preferred years 2023–2026. Try national first (National statistical office series that matches the international definition), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
1.3,Employment in agriculture (% of total employment),C0,Agricultural context & need,Context,no,rubric,Context profile (not aggregated),agricultural,3,2023–2026,Employment in agriculture (% of total employment). Method: Context profile (not aggregated).,National statistical office series that matches the international definition,No international substitute — documentary lead only,Statistics office / international statistical system,worldbank,SL.AGR.EMPL.ZS,World Bank WDI / ILO,https://data.worldbank.org/indicator/SL.AGR.EMPL.ZS,no,,direct,17.52,2025,World Bank WDI / ILO,https://data.worldbank.org/indicator/SL.AGR.EMPL.ZS,A,86,,,,,,,,"Egypt — 1.3 Employment in agriculture (% of total employment). Definition: Employment in agriculture (% of total employment). Method: Context profile (not aggregated). Required cut: agricultural. Preferred years 2023–2026. Try national first (National statistical office series that matches the international definition), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
1.4,Food production index (2014-2016 = 100),C0,Agricultural context & need,Context,no,rubric,Context profile (not aggregated),national,3,2023–2026,Food production index (2014-2016 = 100). Method: Context profile (not aggregated).,National statistical office series that matches the international definition,No international substitute — documentary lead only,Statistics office / international statistical system,worldbank,AG.PRD.FOOD.XD,World Bank WDI / FAO,https://data.worldbank.org/indicator/AG.PRD.FOOD.XD,no,,direct,109.07,2022,World Bank WDI / FAO,https://data.worldbank.org/indicator/AG.PRD.FOOD.XD,A,86,,,,,,,,"Egypt — 1.4 Food production index (2014-2016 = 100). Definition: Food production index (2014-2016 = 100). Method: Context profile (not aggregated). Required cut: national. Preferred years 2023–2026. Try national first (National statistical office series that matches the international definition), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
1.5,Post-harvest loss rate (%),C0,Agricultural context & need,Context,no,rubric,Context profile (not aggregated),national,2,2024–2026,Post-harvest loss rate (%). Method: Context profile (not aggregated).,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,named-gap,,National post-harvest assessment,,no,No comparable global series. Route to the agriculture ministry / FAO FLW contact.,missing,,,,,E,0,,,,,,,,"Egypt — 1.5 Post-harvest loss rate (%). Definition: Post-harvest loss rate (%). Method: Context profile (not aggregated). Required cut: national. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
1.6,Smallholder access to formal markets (%),C0,Agricultural context & need,Context,no,rubric,Context profile (not aggregated),agricultural,2,2024–2026,Smallholder access to formal markets (%). Method: Context profile (not aggregated).,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,named-gap,,Agricultural census / LSMS-ISA,,no,Smallholder market access is a local survey item.,missing,,,,,E,0,,,,,,,,"Egypt — 1.6 Smallholder access to formal markets (%). Definition: Smallholder access to formal markets (%). Method: Context profile (not aggregated). Required cut: agricultural. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
1.7,Agricultural credit access (% of farmers),C0,Agricultural context & need,Context,no,rubric,Context profile (not aggregated),agricultural,2,2024–2026,Agricultural credit access (% of farmers). Method: Context profile (not aggregated).,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,named-gap,,Agricultural finance survey,,no,Share of farmers with formal credit. Local survey or central-bank microdata.,missing,,,,,E,0,,,,,,,,"Egypt — 1.7 Agricultural credit access (% of farmers). Definition: Agricultural credit access (% of farmers). Method: Context profile (not aggregated). Required cut: agricultural. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
1.8,Farmers using climate-smart/sustainable practices (%),C0,Agricultural context & need,Context,no,rubric,Context profile (not aggregated),agricultural,2,2024–2026,Farmers using climate-smart/sustainable practices (%). Method: Context profile (not aggregated).,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,named-gap,,CSA practice survey,,no,Climate-smart practice adoption is a local survey item.,missing,,,,,E,0,,,,,,,,"Egypt — 1.8 Farmers using climate-smart/sustainable practices (%). Definition: Farmers using climate-smart/sustainable practices (%). Method: Context profile (not aggregated). Required cut: agricultural. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
1.9,National innovation/extension programs with digital component,C4,Human & institutional capacity,Capability,no,rubric,Anchored capability rubric,agricultural,2,2024–2026,National innovation/extension programs with digital component. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,named-gap,,Programme documentation,,no,Anchored rubric — panel scoring against documentary evidence.,missing,,,,,E,0,,,,,,,,"Egypt — 1.9 National innovation/extension programs with digital component. Definition: National innovation/extension programs with digital component. Method: Anchored capability rubric. Required cut: agricultural. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
2.1,Rural population covered by at least 3G (%),C1,Connectivity & affordable access,Capability,yes,quantitative,Quantitative threshold,rural,3,2023–2026,Share of the rural population living in an area with at least 3G mobile coverage.,"National telecom regulator coverage maps / NTRA, MCIT or equivalent statistical yearbook","ITU DataHub MOB_COV_3G via World Bank Data360 (national, proxy)",Telecom regulator / ITU,data360,MOB_COV_3G,"ITU DataHub — population covered by at least 3G (national, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,yes,Proxy: national 3G population coverage. DAMM asks for rural coverage. Replace with a rural-filtered ITU/GSMA reading when the regulator publishes one.,proxy,99.8,2024,"ITU DataHub — population covered by at least 3G (national, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,B,73,,,,,,,,"Egypt — 2.1 Rural population covered by at least 3G (%). Definition: Share of the rural population living in an area with at least 3G mobile coverage. Required cut: rural. Preferred years 2023–2026. Try national first (National telecom regulator coverage maps / NTRA, MCIT or equivalent statistical yearbook), then ITU DataHub MOB_COV_3G via World Bank Data360 (national, proxy). Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
